num,slug,sk,code,name,time_val,unit,skill,abnormal,grossWeight,wgt,spawn,cycle_val,standard,material,raw,raw_mfr,one_box,pallet,tape,box,bag,etc,keyword
344,5543,SK5543,890915,サンファスナー 7型,15,100,0.04,0,1.11ｇ,3.6 ±0.1(10ヶ),2,8.4,8.4,PP,PP J705UG,9,"","","",ｻﾝﾌｱｽﾅｰ2.3.5ｶﾞﾀﾖｳ,0.03 X 400 X 800,10ショット、サンプル取り数20個/3.6g,"SK5543,890915,サンファスナー7型,さんふぁすなー7がた,サンファスナー7ガタ,sanfasunaa7gata,sanfasunaa7gata,sanfuasunaa7gata"
345,5654,SK5654,805568,スライドダミー缶L 上パーツ,25,10,0.13,0,22.1ｇ,20 ±0.3,1,18.6,18.8,PP(BC03),BC03BSW,30,100,4000,ｸﾗﾌﾄHH,ｽﾗｲﾄﾞﾀﾞﾐｰｶﾝ L,"",下パーツと嵌合,"SK5654,805568,スライドダミー缶L上パーツ,すらいどだみーかんLうえぱーつ,スライドダミーカンLウエパーツ,suraidodamiikanLuepaatsu,suraidodamiikanLuepaatu,suraidodamiikanLuepaatsu"
346,5655,SK5655,805569,スライドダミー缶L 下パーツ,30,10,0.16,0,21.5ｇ,19.4 ±0.3,1,18.8,18.8,PP(BC03),BC03BSW,30,"","","","","",仮保管,"SK5655,805569,スライドダミー缶L下パーツ,すらいどだみーかんLしたぱーつ,スライドダミーカンLシタパーツ,suraidodamiikanLshitapaatsu,suraidodamiikanLsitapaatu,suraidodamiikanLshitapaatsu"
347,5666,SK5666,400506,サンコータル角タル 3K 本体,100,10,0.36,0,167ｇ,167 ±2,1,27.65,27.7,PP,PP J224U,5,"",960,ｸﾗﾌﾄHH,ｻﾝｺｰﾀﾙ ｶｸﾀﾙ3K ｾﾂﾄ,0.03 X 400 X 800,仮保管: パレット積み（1100角シート3枚/1P）,"SK5666,400506,サンコータル角タル3K本体,さんこーたるかくたる3Kほんたい,サンコータルカクタル3Kホンタイ,sankootarukakutaru3Khontai,sankootarukakutaru3Khontai,sankootarukakutaru3Khontai"
348,5667,SK5667,700250,サンコータル角タル 3K 蓋,39,10,0.28,0,48.8ｇ,48.8 ±1,1,13.7,13.8,PP,PP J224U,5,160,"","","",0.03 X 1300 X 1100,仮保管: ｻﾝﾎﾞｯｸｽ56A-2,"SK5667,700250,サンコータル角タル3K蓋,さんこーたるかくたる3Kふた,サンコータルカクタル3Kフタ,sankootarukakutaru3Kfuta,sankootarukakutaru3Kfuta,sankootarukakutaru3Kfuta"
349,5668,SK5668,800150,サンコータル角タル 3K ハンドル,20,10,0.11,0,10.8ｇ,6.8 ±0.1,1,18.1,18.3,PE,202 LDPE,24,"","","","",0.03 X 1300 X 1100,ｻﾝｸﾚｯﾄ#80,"SK5668,800150,サンコータル角タル3Kハンドル,さんこーたるかくたる3Kはんどる,サンコータルカクタル3Kハンドル,sankootarukakutaru3Khandoru,sankootarukakutaru3Khandoru,sankootarukakutaru3Khandoru"
350,5669,SK5669,800457,孔取っ手　AT-S,27,15,0.13,0,8.7ｇ,7 ±0.5,1,13.97,14,PE,PE 2209J,5,1300,7800,ｸﾗﾌﾄII,ｱﾅﾄｯﾃ/ﾌｸﾛﾄｯﾃ,"","","SK5669,800457,孔取っ手ATS,あなとってATS,アナトッテATS,anatotteATS,anatotteATS,anatotteATS"
351,5671,SK5671,800459,袋取っ手 FT-S,27,15,0.1,0,20.3ｇ,19 ±0.5,1,18.3,18.3,PP(BC03),BC03BSW,30,500,6000,ｸﾗﾌﾄII,ｱﾅﾄｯﾃ/ﾌｸﾛﾄｯﾃ,"","","SK5671,800459,袋取っ手FTS,ふくろとってFTS,フクロトッテFTS,fukurototteFTS,fukurototteFTS,fukurototteFTS"
352,5671,SK5671,800461,袋取っ手 FT-S 導電,27,15,0.12,0,23.5ｇ,22 ±0.5,1,"",15,PP(BC03),BC03BSW,30,"","","","","","","SK5671,800461,袋取っ手FTS導電,ふくろとってFTSどうでん,フクロトッテFTSドウデン,fukurototteFTSdouden,fukurototteFTSdouden,fukurototteFTSdouden"
353,5673,SK5673,800463,段プラコーナーパーツ SW-A,45,10,0.15,0,27ｇ,26 ±0.4,1,29.8,28.5,PP,BC03BSW,30,"","",ｸﾗﾌﾄII,ﾀﾞﾝﾌﾟﾗｺｰﾅｰﾊﾟｰﾂ,"","","SK5673,800463,段プラコーナーパーツSWA,だんぷらこーなーぱーつSWA,ダンプラコーナーパーツSWA,danpurakoonaapaatsuSWA,danpurakoonaapaatuSWA,danpurakoonaapaatsuSWA"
354,5674,SK5674,800465,段プラコーナーパーツ SW-B,45,10,0.15,0,27ｇ,26 ±0.4,1,30.8,28.6,PP,BC03BSW,30,"","",ｸﾗﾌﾄII,ﾀﾞﾝﾌﾟﾗｺｰﾅｰﾊﾟｰﾂ,"","","SK5674,800465,段プラコーナーパーツSWB,だんぷらこーなーぱーつSWB,ダンプラコーナーパーツSWB,danpurakoonaapaatsuSWB,danpurakoonaapaatuSWB,danpurakoonaapaatsuSWB"
355,5675,SK5675,800467,段プラコーナーパーツ WW-R,45,10,0.18,0,29ｇ,27.8 ±0.4,1,24.42,24.6,PP(BC03),BC03BSW,30,"","","",ﾀﾞﾝﾌﾟﾗｺｰﾅｰﾊﾟｰﾂ,"","","SK5675,800467,段プラコーナーパーツWWR,だんぷらこーなーぱーつWWR,ダンプラコーナーパーツWWR,danpurakoonaapaatsuWWR,danpurakoonaapaatuWWR,danpurakoonaapaatsuWWR"
356,5676,SK5676,800468,段プラコーナーパーツ WW-N,43,10,0.17,0,24.7ｇ,23.5 ±0.4,1,24.98,25.3,PP(BC03),BC03BSW,30,"","","",ﾀﾞﾝﾌﾟﾗｺｰﾅｰﾊﾟｰﾂ,"","","SK5676,800468,段プラコーナーパーツWWN,だんぷらこーなーぱーつWWN,ダンプラコーナーパーツWWN,danpurakoonaapaatsuWWN,danpurakoonaapaatuWWN,danpurakoonaapaatsuWWN"
357,5697,SK5697,700865,サンペールK#15A 蓋,54,10,0.22,0,149ｇ,149 ±2,1,24.3,24.3,PE,PE 2100JH,9,20,960,ｸﾗﾌﾄ,ｻﾝﾍﾟｰﾙ K#15A ﾌﾀ,0.03 X 520 X 1000,袋の口はOPP透明テープで固定 / 客先ﾊﾟﾚｯﾄ,"SK5697,700865,サンペールK#15A蓋,さんぺーるKしゃーぷ15Aふた,サンペールKシャープ15Aフタ,sanpeeruKshaapu15Afuta,sanpeeruKsyaapu15Afuta,sampeeruKshaapu15Afuta"
358,5721,SK5721,808050,M10ボルトキャップ　本体,15,10,0.07,0,5.15ｇ,4.15 ±0.1,1,21.5,21.5,PP,PP J704UG,5,1000,"","","","","サンプル取り数10個/41.5g
ｻﾝｸﾚｯﾄ#80","SK5721,808050,M10ボルトキャップ本体,M10ぼるときゃっぷほんたい,M10ボルトキャップホンタイ,M10borutokyappuhontai,M10borutokyappuhontai,M10borutokyappuhontai"
359,5722,SK5722,808051,M10ボルトキャップ　カバー,15,20,0.12,0,1.7ｇ,0.73 ±0.1,2,12.9,12.9,PP,PP J704UG,5,1000,"","","","","サンプル取り数10個/7.3g
ｻﾝｸﾚｯﾄ#80","SK5722,808051,M10ボルトキャップカバー,M10ぼるときゃっぷかばー,M10ボルトキャップカバー,M10borutokyappukabaa,M10borutokyappukabaa,M10borutokyappukabaa"
360,5800,SK5800,805570,ドラム缶プラグ,47,5,0.24,0,24.9ｇ,23.7 ±0.3,1,38.8,39,PE,PE ﾍﾟﾄﾛｾﾝ310,3.6,500,"",ｸﾗﾌﾄHH,ﾄﾞﾗﾑｶﾝﾌﾟﾗｸﾞ,0.03 X 850 X 900,"袋は結ぶ
ゴムパッキン挿入","SK5800,805570,ドラム缶プラグ,どらむかんぷらぐ,ドラムカンプラグ,doramukanpuragu,doramukanpuragu,doramukanpuragu"
361,5815,SK5815,700451,漬物タル 4K-4 蓋,58,10,0.26,0,77.5ｇ,77.5 ±1.5,1,22.32,18.4,PE,PE 1300J,13,100,2400,ｸﾗﾌﾄHH,ﾂｹﾓﾉﾀﾙ 4K-4 ﾌﾀ,"",202とSGIがあるのでダンボールにスタンプ必要,"SK5815,700451,漬物タル4K4蓋,つけものたる4K4ふた,ツケモノタル4K4フタ,tsukemonotaru4K4futa,tukemonotaru4K4futa,tsukemonotaru4K4futa"
362,5882,SK5882,800264,カード差し 19-3型 2号型,未登録,未登録,未登録,未登録,13.1ｇ,11.8+0.2-1.3,1,14.58,13.1,PP,PP J224U,5,400,6400,"","","",ｻﾝｸﾚｯﾄ#80,"SK5882,800264,カード差し193型2号型,かーどさし193がた2ごうがた,カードサシ193ガタ2ゴウガタ,kaadosashi193gata2gougata,kaadosasi193gata2gougata,kaadosashi193gata2gougata,未登録"
363,5883,SK5883,100653,麺トレー T-4,81,15,0.22,0,64ｇ,64 ±1,1,24.5,24.5,PE,PE L-LDPE(M65),20,200,1600,ｸﾗﾌﾄHH,"ﾒﾝﾄﾚｰ T-2､T-3,T-4",0.03 X 1300 X 1100,"","SK5883,100653,麺トレーT4,めんとれーT4,メントレーT4,mentoreeT4,mentoreeT4,mentoreeT4"
364,5887,SK5887,800615,持ち手カバー T,49,20,0.12,0,17.3ｇ,15.8 ±0.2,1,"",20,PP(BC03),BC03BSW,30,"","","","","","","SK5887,800615,持ち手カバーT,もちてかばーT,モチテカバーT,mochitekabaaT,motitekabaaT,mochitekabaaT"
365,5957,SK5957,200282,サンケースK280 本体,27,15,0.15,0,24.5ｇ,24.5 ±1,1,12.1,12.7,PP,PP J226U,20,200,9600,ｸﾗﾌﾄIH,ｻﾝｹｰｽK280･K450 ﾎﾝﾀｲ,0.03 X 850 X 900,"","SK5957,200282,サンケースK280本体,さんけーすK280ほんたい,サンケースK280ホンタイ,sankeesuK280hontai,sankeesuK280hontai,sankeesuK280hontai"
366,5958,SK5958,700289,サンケースK280 蓋,18,10,0.14,0,18ｇ,18 ±1,1,12.5,12.8,PP,PP J226U,20,200,9600,ｸﾗﾌﾄIH,ｻﾝｹｰｽK280 K450 ﾌﾀ / ｻﾝｹｰｽK280 ﾌﾀ ﾊﾟﾂﾄ,0.03 X 850 X 900,"","SK5958,700289,サンケースK280蓋,さんけーすK280ふた,サンケースK280フタ,sankeesuK280futa,sankeesuK280futa,sankeesuK280futa"
367,5959,SK5959,805623,ブランクトレー 本体,20,10,0.14,0,21.2ｇ,19.6 ±0.3,1,14.16,14.2,PP(BC03),BC03BSW,30,250,10000,"",ﾌﾞﾗﾝｸﾄﾚｰ ﾎﾝﾀｲ,"","","SK5959,805623,ブランクトレー本体,ぶらんくとれーほんたい,ブランクトレーホンタイ,burankutoreehontai,burankutoreehontai,burankutoreehontai"
368,5960,SK5960,805624,ブランクトレー 蓋,20,10,0.16,0,14ｇ,13.1 ±0.3,1,12.6,12.7,PP,PP J226U,20,250,10000,"",ﾌﾞﾗﾝｸﾄﾚｰ ﾌﾀ / ﾌﾞﾗﾝｸﾄﾚｰ ﾌﾀ ﾊﾟｯﾄ,"","","SK5960,805624,ブランクトレー蓋,ぶらんくとれーふた,ブランクトレーフタ,burankutoreefuta,burankutoreefuta,burankutoreefuta"
369,5992,SK5992,807923,プラテクター S265-2,76,9,0.28,0,270.1ｇ,269 ±5,1,30.31,18.6,PP,PP J705UG,9,40,320,ｸﾗﾌﾄIH,ﾌﾟﾗﾃｸﾀｰ S265-2(無地),"","","SK5992,807923,プラテクターS2652,ぷらてくたーS2652,プラテクターS2652,puratekutaaS2652,puratekutaaS2652,puratekutaaS2652"
370,6023,SK6023,804350,ISトレー,78,10,0.25,0,290ｇ,265 ±4,1,"",30.7,PP,PP工程内粉砕(70%) / 東洋化学再生PP(30%),5～10 / 4.5～5,"","","","","","","SK6023,804350,ISトレー,ISとれー,ISトレー,IStoree,IStoree,IStoree"
371,6040,SK6040,803823,AWR-01,未登録,未登録,未登録,未登録,346.8ｇ,309 ±5,1,"",28.3,PP,PP J705UG,9,"","","","",0.03 X 1000 X 1700,"","SK6040,803823,AWR01,AWR01,AWR01,AWR01,AWR01,AWR01,未登録"
372,6041,SK6041,803824,AWR-02,44,5,0.4,0,222.3ｇ,222 ±4,1,"",21.9,PP,PP J705UG,9,"","","","",0.03 X 1000 X 1700,"","SK6041,803824,AWR02,AWR02,AWR02,AWR02,AWR02,AWR02"
373,6066,SK6066,100174,イカナゴケース　4CS-T(1P),90,40,0.43,10,107.7ｇ,21.8 ±0.4,4,20.7,19.6,PP,PP J106G,15,"",3016,"",1100角シート,"","","SK6066,100174,イカナゴケース4CST(1P),いかなごけーす4CST(1P),イカナゴケース4CST(1P),ikanagokeesu4CST(1P),ikanagokeesu4CST(1P),ikanagokeesu4CST(1P)"
374,6066,SK6066,100174,イカナゴケース　4CS-T(4P),90,40,0.43,10,107.7ｇ,21.8 ±0.4,4,20.7,19.6,PP,PP J106G,15,240,4800,"","",HD 0.01 X 1000 X 1400,上1枚ずつ裏返し,"SK6066,100174,イカナゴケース4CST(4P),いかなごけーす4CST(4P),イカナゴケース4CST(4P),ikanagokeesu4CST(4P),ikanagokeesu4CST(4P),ikanagokeesu4CST(4P)"
375,6067,SK6067,805573,電池パックトレー T-1 Aパーツ,45,10,0.14,0,24.1ｇ,20.9+2-0.5,1,32.37,27.9,再生PP,再生PP,5～30,200,"","",電池ﾊﾟｯｸﾄﾚｰ　T-1　Aﾊﾟｰﾂ,"","","SK6067,805573,電池パックトレーT1Aパーツ,でんちぱっくとれーT1Aぱーつ,デンチパックトレーT1Aパーツ,denchipakkutoreeT1Apaatsu,dentipakkutoreeT1Apaatu,denchipakkutoreeT1Apaatsu"
376,6067,SK6067,805574,電池パックトレー T-1 Bパーツ,未登録,未登録,未登録,未登録,83.2ｇ,80.3+8-2,1,27.84,34.5,再生PP,再生PP,5～30,"","","","","","","SK6067,805574,電池パックトレーT1Bパーツ,でんちぱっくとれーT1Bぱーつ,デンチパックトレーT1Bパーツ,denchipakkutoreeT1Bpaatsu,dentipakkutoreeT1Bpaatu,denchipakkutoreeT1Bpaatsu,未登録"
377,6135,SK6135,800506,CKSUプライス表示　フックベース,6,8,0.21,0,77ｇ,6.5 ±0.2,8,"",29.2,PC,"","","","","","","","","SK6135,800506,CKSUプライス表示フックベース,CKSUぷらいすひょうじふっくべーす,CKSUプライスヒョウジフックベース,CKSUpuraisuhyoujifukkubeesu,CKSUpuraisuhyouzifukkubeesu,CKSUpuraisuhyoujifukkubeesu"
378,6136,SK6136,800507,CKSUプライス表示　シャフトD130,未登録,未登録,未登録,未登録,58.4ｇ,3.3 ±0.1,8,"",21.5,PC,"","","","","","","","","SK6136,800507,CKSUプライス表示シャフトD130,CKSUぷらいすひょうじしゃふとD130,CKSUプライスヒョウジシャフトD130,CKSUpuraisuhyoujishafutoD130,CKSUpuraisuhyouzisyafutoD130,CKSUpuraisuhyoujishafutoD130,未登録"
379,6137,SK6137,800526,CKSUプライス表示　シャフトD180,13,20,0.23,0,71ｇ,4.2 ±0.1,8,"",22.8,PC,"","","","","","","","","SK6137,800526,CKSUプライス表示シャフトD180,CKSUぷらいすひょうじしゃふとD180,CKSUプライスヒョウジシャフトD180,CKSUpuraisuhyoujishafutoD180,CKSUpuraisuhyouzisyafutoD180,CKSUpuraisuhyoujishafutoD180"
380,6138,SK6138,800527,CKSUプライス表示　シャフトD230,未登録,未登録,未登録,未登録,85.1ｇ,5.2 ±0.2,8,"",22.7,PC,"","","","","","","","","SK6138,800527,CKSUプライス表示シャフトD230,CKSUぷらいすひょうじしゃふとD230,CKSUプライスヒョウジシャフトD230,CKSUpuraisuhyoujishafutoD230,CKSUpuraisuhyouzisyafutoD230,CKSUpuraisuhyoujishafutoD230,未登録"
381,6139,SK6139,800528,CKSUプライス表示　シャフトD250,未登録,未登録,未登録,未登録,45.1ｇ,5.5 ±0.2,4,"",24.1,PC,"","","","","","","","","SK6139,800528,CKSUプライス表示シャフトD250,CKSUぷらいすひょうじしゃふとD250,CKSUプライスヒョウジシャフトD250,CKSUpuraisuhyoujishafutoD250,CKSUpuraisuhyouzisyafutoD250,CKSUpuraisuhyoujishafutoD250,未登録"
382,6140,SK6140,800529,CKSUプライス表示　シャフトD280,未登録,未登録,未登録,未登録,49.1ｇ,6.0 ±0.2,4,"",24.7,PC,"","","","","","","","","SK6140,800529,CKSUプライス表示シャフトD280,CKSUぷらいすひょうじしゃふとD280,CKSUプライスヒョウジシャフトD280,CKSUpuraisuhyoujishafutoD280,CKSUpuraisuhyouzisyafutoD280,CKSUpuraisuhyoujishafutoD280,未登録"
383,6141,SK6141,800508,CKSUプライス表示　ハンガー　1号型,6,8,0.39,0,20ｇ,1.3 ±0.1,8,"",15.3,PC,"","","","","","","","","SK6141,800508,CKSUプライス表示ハンガー1号型,CKSUぷらいすひょうじはんがー1ごうがた,CKSUプライスヒョウジハンガー1ゴウガタ,CKSUpuraisuhyoujihangaa1gougata,CKSUpuraisuhyouzihangaa1gougata,CKSUpuraisuhyoujihangaa1gougata"
384,6142,SK6142,800508,CKSUプライス表示　ハンガー　2号型,6,8,0.36,0,20ｇ,1.3 ±0.1,8,"",16.9,PC,"","","","","","","","","SK6142,800508,CKSUプライス表示ハンガー2号型,CKSUぷらいすひょうじはんがー2ごうがた,CKSUプライスヒョウジハンガー2ゴウガタ,CKSUpuraisuhyoujihangaa2gougata,CKSUpuraisuhyouzihangaa2gougata,CKSUpuraisuhyoujihangaa2gougata"
385,6143,SK6143,800508,CKSUプライス表示　ハンガー　3号型,6,8,0.38,0,20ｇ,1.3 ±0.1,8,"",16,PC,"","","","","","","","","SK6143,800508,CKSUプライス表示ハンガー3号型,CKSUぷらいすひょうじはんがー3ごうがた,CKSUプライスヒョウジハンガー3ゴウガタ,CKSUpuraisuhyoujihangaa3gougata,CKSUpuraisuhyouzihangaa3gougata,CKSUpuraisuhyoujihangaa3gougata"
386,6146,SK6146,800509,CKSUプライス表示　ホルダーチップ　3号型,7,8,0.27,0,80.5ｇ,5.85 ±0.15,8,"",25.7,PC,"","","","","","","","","SK6146,800509,CKSUプライス表示ホルダーチップ3号型,CKSUぷらいすひょうじほるだーちっぷ3ごうがた,CKSUプライスヒョウジホルダーチップ3ゴウガタ,CKSUpuraisuhyoujihorudaachippu3gougata,CKSUpuraisuhyouzihorudaatippu3gougata,CKSUpuraisuhyoujihorudaachippu3gougata"
387,6156,SK6156,806037 806038 806047 806048,エンジントレーT-7 A•B•C•D,43,6,0.27,0,170.8ｇ,41.2 / 40.7 / 40.7 / 40.7,1,26.3,26.8,再生PP,RCP,5～30,"","",ｸﾗﾌﾄII,ｻﾝﾍﾟｰﾙ K＃20Dﾌﾀ / ｴﾝｼﾞﾝﾄﾚｰ ﾀﾞﾝﾎﾞｰﾙ,"","","SK6156,806037806038806047806048,エンジントレーT7ABCD,えんじんとれーT7ABCD,エンジントレーT7ABCD,enjintoreeT7ABCD,enzintoreeT7ABCD,enjintoreeT7ABCD"
388,6164,SK6164,800526,CKSUプライス表示　シャフトD180 2号型,13,20,0.26,0,71ｇ,4.2 ±0.1,8,"",19.7,PC,"","","","","","","","","SK6164,800526,CKSUプライス表示シャフトD1802号型,CKSUぷらいすひょうじしゃふとD1802ごうがた,CKSUプライスヒョウジシャフトD1802ゴウガタ,CKSUpuraisuhyoujishafutoD1802gougata,CKSUpuraisuhyouzisyafutoD1802gougata,CKSUpuraisuhyoujishafutoD1802gougata"
389,6165,SK6165,800508,CKSUプライス表示　ハンガー　4号型,6,8,0.43,0,20ｇ,1.3 ±0.1,8,"",13.8,PC,"","","","","","","","","SK6165,800508,CKSUプライス表示ハンガー4号型,CKSUぷらいすひょうじはんがー4ごうがた,CKSUプライスヒョウジハンガー4ゴウガタ,CKSUpuraisuhyoujihangaa4gougata,CKSUpuraisuhyouzihangaa4gougata,CKSUpuraisuhyoujihangaa4gougata"
390,6166,SK6166,800509,CKSUプライス表示　ホルダーチップ　4号型,7,8,0.29,0,80.5ｇ,5.85 ±0.15,8,"",24.4,PC,"","","","","","",0.03 X 350 X 500,"","SK6166,800509,CKSUプライス表示ホルダーチップ4号型,CKSUぷらいすひょうじほるだーちっぷ4ごうがた,CKSUプライスヒョウジホルダーチップ4ゴウガタ,CKSUpuraisuhyoujihorudaachippu4gougata,CKSUpuraisuhyouzihorudaatippu4gougata,CKSUpuraisuhyoujihorudaachippu4gougata"
391,6167,SK6167,800509,CKSUプライス表示　ホルダーチップ　5号型,7,8,0.26,0,46.8ｇ,5.85 ±0.15,8,"",27.3,PC,"","","","","","",0.03 X 350 X 500,"","SK6167,800509,CKSUプライス表示ホルダーチップ5号型,CKSUぷらいすひょうじほるだーちっぷ5ごうがた,CKSUプライスヒョウジホルダーチップ5ゴウガタ,CKSUpuraisuhyoujihorudaachippu5gougata,CKSUpuraisuhyouzihorudaatippu5gougata,CKSUpuraisuhyoujihorudaachippu5gougata"
392,6188,SK6188,802550,アングルストッパー,30,20,0.07,0,14ｇ,12 ±0.2,1,20,11.7,PP,PP J704UG,5,"","","","","","","SK6188,802550,アングルストッパー,あんぐるすとっぱー,アングルストッパー,angurusutoppaa,angurusutoppaa,angurusutoppaa"
393,6199,SK6199,801086,カード差し 148型,94,20,0.28,0,36ｇ,36 ±0.5,1,17,14.7,PP,PP J224U,5,"","","",ｶｰﾄﾞｻｼ 148ｶﾞﾀ,"","","SK6199,801086,カード差し148型,かーどさし148がた,カードサシ148ガタ,kaadosashi148gata,kaadosasi148gata,kaadosashi148gata"
394,6228,SK6228,400906,エッグトレーK,45,10,0.2,0,152.2ｇ,150 ±2,1,22.1,18.1,PP,PP J705UG,9,"","","","","","","SK6228,400906,エッグトレーK,えっぐとれーK,エッグトレーK,eggutoreeK,eggutoreeK,eggutoreeK"
395,6298,SK6298,200488,サンケースK#450,18,10,0.1,0,31ｇ,31 ±0.5,1,17.6,17.6,PP,PP J226U,20,"","","",ｻﾝｹｰｽK280･K450 ﾎﾝﾀｲ,0.03 X 850 X 900,"","SK6298,200488,サンケースK#450,さんけーすKしゃーぷ450,サンケースKシャープ450,sankeesuKshaapu450,sankeesuKsyaapu450,sankeesuKshaapu450"
396,6315,SK6315,400130,サンケースC200-3 本体,35,20,0.18,0,10.8ｇ,10.8 ±0.3,1,9.65,9.7,PP,PP J3021GA,33,400,9600,OPP透明HH,ｻﾝｹｰｽC200-3 ﾎﾝﾀｲ,HD 0.01 X 1000 X 1400,"","SK6315,400130,サンケースC2003本体,さんけーすC2003ほんたい,サンケースC2003ホンタイ,sankeesuC2003hontai,sankeesuC2003hontai,sankeesuC2003hontai"
397,6316,SK6316,700131,サンケースC200-3 蓋,29,20,0.14,0,5.3ｇ,5.3 ±0.2,1,10.22,9.6,PP,PP J3021GA,33,400,32000,OPP透明HH,ｻﾝｹｰｽC200-3 ﾌﾀ,0.03 X 850 X 900,"","SK6316,700131,サンケースC2003蓋,さんけーすC2003ふた,サンケースC2003フタ,sankeesuC2003futa,sankeesuC2003futa,sankeesuC2003futa"
398,6345,SK6345,805592,洗浄トレー KC-2,49,10,0.15,0,257ｇ,220 ±3,1,31.75,32,PP,PP J705UG,9,"","","","","","","SK6345,805592,洗浄トレーKC2,せんじょうとれーKC2,センジョウトレーKC2,senjoutoreeKC2,senjoutoreeKC2,senjoutoreeKC2"
399,6414,SK6414,200834,ハンディボックスS 本体,81,9,0.27,0,185.2ｇ,185 ±3,1,33.6,28.4,PP,PP J705UG,9,18,432,"","","",ハンディS本体専用箱,"SK6414,200834,ハンディボックスS本体,はんでぃぼっくすSほんたい,ハンディボックスSホンタイ,handibokkusuShontai,handibokkusuShontai,handeibokkusuShontai"
400,6415,SK6415,200835,ハンディボックスS 蓋,72,8,0.29,0,136ｇ,130 ±3,1,31.4,28.9,PP,PP J705UG,9,18,432,"","","",ハンディS蓋専用箱,"SK6415,200835,ハンディボックスS蓋,はんでぃぼっくすSふた,ハンディボックスSフタ,handibokkusuSfuta,handibokkusuSfuta,handeibokkusuSfuta"
401,6416,SK6416,800580,ハンディボックスS ハンドル,14,8,0.08,0,42ｇ,19 ±2,2,45.5,45.5,PP,PP J705UG,9,140,1400,"","","","BLFULは立てて120個入り(色相不良対策)
ｻﾝﾎﾞｯｸｽ#13 / 1111パレット(A棟)orサンキャスター(B棟)/(WH101のみ白金シート使用)","SK6416,800580,ハンディボックスSハンドル,はんでぃぼっくすSはんどる,ハンディボックスSハンドル,handibokkusuShandoru,handibokkusuShandoru,handeibokkusuShandoru"
402,6417,SK6417,800581,ハンディボックスS ロックパーツ,16,10,0.19,0,14.4ｇ,2.7 ±0.5/3 ±0.5,2,16.85,14.2,PP,PP J704UG,5,500,5000,"","","",ｻﾝﾎﾞｯｸｽ#13 / 1111パレット(A棟)orサンキャスター(B棟)/(WH101のみ白金シート使用),"SK6417,800581,ハンディボックスSロックパーツ,はんでぃぼっくすSろっくぱーつ,ハンディボックスSロックパーツ,handibokkusuSrokkupaatsu,handibokkusuSrokkupaatu,handeibokkusuSrokkupaatsu"
403,6418,SK6418,400650,サンペール300 本体,46,12,0.2,0,43.2ｇ,43.2 ±0.5,1,19,19,PE,PE Hz2200JH,5,"","","",ｻﾝﾍﾟｰﾙ 300 ﾎﾝﾀｲ,HD 0.02 X 1060 X 1100,"","SK6418,400650,サンペール300本体,さんぺーる300ほんたい,サンペール300ホンタイ,sanpeeru300hontai,sanpeeru300hontai,sampeeru300hontai"
404,6419,SK6419,700551,サンペール300 蓋,28,10,0.1,0,17.8ｇ,17.8 ±0.3,1,28.84,25.4,PP,PP J715M,9,400,"","",ｻﾝﾍﾟｰﾙ 300 ﾌﾀ,0.03 X 1060 X 1100,"","SK6419,700551,サンペール300蓋,さんぺーる300ふた,サンペール300フタ,sanpeeru300futa,sanpeeru300futa,sampeeru300futa"
405,6420,SK6420,700550,サンペール300 中蓋,42,15,0.19,0,7.9ｇ,7.9 ±0.1,1,14.9,12.8,PE,PE ｽﾐｶｾﾝ G701,7,"","","",ｻﾝﾍﾟｰﾙ 300 ﾅｶﾌﾀ,0.03 X 850 X 900,"","SK6420,700550,サンペール300中蓋,さんぺーる300なかふた,サンペール300ナカフタ,sanpeeru300nakafuta,sanpeeru300nakafuta,sampeeru300nakafuta"
406,6421,SK6421,400651,サンペール610 本体,49,9,0.22,0,69.5ｇ,69.5 ±1,1,25.2,22.1,PE,PE Hz2200JH,5,100,1600,OPP透明HH,ｻﾝﾍﾟｰﾙ 610 ﾎﾝﾀｲ,ﾎﾟﾘｼｰﾄ0.01 X 600 X 500 / HD 0.02 X 1060 X 1100,"ポリ手袋着用、ゴム手袋はダメ
袋結び有り / ｼｰﾄ1箱3枚","SK6421,400651,サンペール610本体,さんぺーる610ほんたい,サンペール610ホンタイ,sanpeeru610hontai,sanpeeru610hontai,sampeeru610hontai"
407,6422,SK6422,700553,サンペール610 蓋,32,6,0.23,0,24.2ｇ,24.2 ±0.4,1,22.94,25.4,PP,PP J715M,9,300/400,6400,OPP透明HH,ｷｸｶﾂﾌﾟ ﾎﾝﾀｲ or ｻﾝﾍﾟｰﾙ 610 ﾌﾀ,HD 0.02 X 180 X 500 / 0.03 X 1300 X 1100 or HD 0.02 X 1060 X 1100,"ポリ手袋着用、ゴム手袋はダメ
袋結び有り / 小袋結び有り","SK6422,700553,サンペール610蓋,さんぺーる610ふた,サンペール610フタ,sanpeeru610futa,sanpeeru610futa,sampeeru610futa"
